radius,accelX,accelY,accelZ,rotAlpha,rotBeta,rotGamma,class
38.29,0.01,-0.07,0.75,6.26,-15.92,-3.18,pad
38.29,0.27,-0.33,-0.02,-19.19,-2.24,2.15,pad
38.29,0.39,-0.14,3.45,-8.19,7.23,0.39,pad
38.29,0.77,-0.49,2.72,-9.19,-3.55,1.44,pad
25.52,0.48,-0.22,1.29,-8.71,8.95,2.34,pad
25.52,-0.08,-0.29,0.72,6.88,-9.20,0.01,pad
25.52,0.01,0.07,0.20,-1.58,-1.99,0.62,pad
25.52,0.42,-0.49,0.76,1.59,17.58,1.85,pad
25.52,0.33,-0.37,2.71,-6.93,16.81,2.11,pad
38.29,0.40,-0.26,0.93,-6.62,5.35,1.82,pad
38.29,0.33,-0.28,2.25,-4.81,0.21,-0.66,pad
38.29,-0.04,-0.05,-2.10,-1.35,0.69,-2.33,pad
25.52,0.24,-0.59,1.96,5.22,22.38,0.67,pad
38.29,0.83,-0.71,1.81,-12.32,17.93,5.71,pad
38.29,0.24,-0.22,1.01,-7.99,4.87,2.97,pad
25.52,0.30,-0.26,1.09,-1.85,5.58,1.95,pad
25.52,0.07,-0.07,-0.26,-5.76,0.59,1.17,pad
25.52,0.27,-0.59,2.09,-2.66,10.16,3.10,pad
25.52,0.62,-0.38,1.28,-23.95,7.29,4.77,pad
25.52,-0.10,0.07,1.47,-3.37,3.81,1.32,pad
25.52,0.20,-0.22,0.30,-0.61,5.51,0.92,pad
25.52,0.24,-0.21,0.75,4.62,4.40,-0.17,pad
25.52,0.19,-0.01,-2.58,-5.96,-15.62,1.29,knuckle
25.52,0.03,-0.28,2.12,-2.37,14.59,-1.66,knuckle
25.52,-0.27,0.05,6.65,-31.43,19.47,-4.94,knuckle
25.52,-0.06,0.02,-0.15,3.68,0.87,-0.44,knuckle
25.52,0.19,-0.91,3.32,-8.36,68.08,1.66,knuckle
25.52,-0.31,0.19,1.20,23.17,21.97,-0.58,knuckle
25.52,0.11,-0.43,1.72,14.29,28.45,-0.65,knuckle
25.52,0.47,-0.90,3.16,-40.25,56.13,-4.94,knuckle
25.52,-0.06,0.04,-0.07,16.33,2.10,-6.16,knuckle
25.52,-0.44,0.11,-0.38,-4.68,46.23,-2.60,knuckle
25.52,0.12,-0.64,4.99,-24.14,70.97,-4.63,knuckle
25.52,0.04,-0.07,0.08,3.35,0.68,-2.84,knuckle
25.52,-1.33,1.60,11.42,35.75,-22.95,-15.67,knuckle
25.52,0.67,-1.88,2.44,-43.61,91.33,-6.90,knuckle
25.52,0.22,-0.79,9.72,5.60,14.03,-7.26,knuckle
25.52,0.52,-1.22,7.62,-13.44,23.90,-4.35,knuckle
25.52,0.04,-0.28,9.69,-15.66,89.46,1.27,knuckle
25.52,0.21,-2.52,4.23,-9.77,113.09,0.51,knuckle
38.29,0.80,-1.27,4.73,-8.00,51.03,0.77,knuckle
25.52,-0.05,-0.12,10.67,19.84,122.72,4.09,knuckle
25.52,-0.00,-0.13,0.06,7.53,5.19,-5.19,knuckle
25.52,0.78,-3.41,4.37,-36.22,102.80,3.11,knuckle
38.29,-0.01,-0.20,0.81,0.99,3.33,-1.66,pad
38.29,-0.01,0.02,0.49,0.16,-0.68,0.36,pad
38.29,0.01,-0.19,0.67,1.21,4.86,-0.01,pad
38.29,0.01,-0.15,0.36,-0.15,3.77,0.59,pad
25.52,-0.10,-0.04,0.34,0.37,2.48,-1.12,pad
25.52,-0.26,0.27,0.94,7.79,15.63,-1.96,pad
